asset_id,site_id,site_name,asset_type,region,capacity_mw,commercial_operation_date,operating_status,grid_node,owner_contact,sensitivity_tag,notes
RENEW-ASSET-001,SITE-WIND-NE-01,North Ridge Wind Farm,wind,onshore_northeast,180.0,2018-05-14,operating,GRID-NODE-NE-17,ops.northridge@example.invalid,critical_infrastructure,Normal operation with seasonal icing watch.
RENEW-ASSET-002,SITE-SOLAR-SW-01,Sun Mesa Solar Park,solar,desert_southwest,240.0,2020-09-01,operating,GRID-NODE-SW-04,ops.sunmesa@example.invalid,critical_infrastructure,High irradiance site with inverter clipping risk.
RENEW-ASSET-003,SITE-BESS-W-01,Copper Valley Battery,battery_storage,western_interconnect,120.0,2021-11-20,operating,GRID-NODE-W-22,dispatch.coppervalley@example.invalid,critical_infrastructure,Four-hour BESS used for peak shifting.
RENEW-ASSET-004,SITE-WIND-MW-02,Prairie Line Wind,wind,midwest,305.0,2017-03-31,operating,GRID-NODE-MW-09,ops.prairieline@example.invalid,critical_infrastructure,Blade inspection interval due this quarter.
RENEW-ASSET-005,SITE-SOLAR-SE-02,Pine Flats Solar,solar,southeast,95.0,2019-07-18,operating,GRID-NODE-SE-12,ops.pineflats@example.invalid,critical_infrastructure,Vegetation management near inverter block C.
RENEW-ASSET-006,SITE-BESS-NE-02,Harbor Peak Storage,battery_storage,northeast,80.0,2022-02-10,constrained,GRID-NODE-NE-18,dispatch.harborpeak@example.invalid,critical_infrastructure,Export limit active pending interconnection study update.
RENEW-ASSET-007,SITE-WIND-TX-03,Gulf Plains Wind,wind,ercot,220.0,2016-10-05,operating,GRID-NODE-TX-33,ops.gulfplains@example.invalid,critical_infrastructure,High wind resource with recurring gearbox work orders.
RENEW-ASSET-008,SITE-SOLAR-CA-03,Silver Basin Solar,solar,western_interconnect,150.0,2023-04-12,commissioning,GRID-NODE-W-31,ops.silverbasin@example.invalid,critical_infrastructure,Commissioning tests incomplete for two inverter blocks.
RENEW-ASSET-009,SITE-BESS-TX-04,Lone Star Storage,battery_storage,ercot,200.0,2023-12-01,operating,GRID-NODE-TX-41,dispatch.lonestar@example.invalid,critical_infrastructure,Market participation limited to synthetic demo telemetry.
RENEW-ASSET-010,SITE-WIND-CA-04,Redwood Coast Wind,wind,western_interconnect,140.0,2015-06-22,maintenance,GRID-NODE-W-27,ops.redwoodcoast@example.invalid,critical_infrastructure,Planned outage for pitch system replacement.
RENEW-ASSET-011,SITE-SOLAR-MW-04,Clearwater Solar,solar,midwest,60.0,2014-08-19,retirement_review,GRID-NODE-MW-02,asset.clearwater@example.invalid,critical_infrastructure,Edge case: retirement review due to aged transformer.
RENEW-ASSET-012,SITE-BESS-SE-05,River Bend Storage,battery_storage,southeast,50.0,2024-01-15,commissioning,,dispatch.riverbend@example.invalid,critical_infrastructure,Edge case: optional grid_node pending final interconnection notice.
RENEW-ASSET-013,SITE-WIND-NE-05,Granite Ridge Wind,wind,northeast,75.0,2012-12-07,operating,GRID-NODE-NE-06,ops.graniteridge@example.invalid,critical_infrastructure,Low capacity factor during winter storm watch.
RENEW-ASSET-014,SITE-SOLAR-SW-06,Canyon Light Solar,solar,desert_southwest,180.0,2021-05-30,curtailment_watch,GRID-NODE-SW-19,ops.canyonlight@example.invalid,critical_infrastructure,Edge case: repeated curtailment notices in prior settlement cycle.
RENEW-ASSET-015,SITE-BESS-MW-06,Lakeview Storage,battery_storage,midwest,100.0,2020-01-08,operating,GRID-NODE-MW-16,dispatch.lakeview@example.invalid,critical_infrastructure,State of charge telemetry reviewed weekly.
